Employee_ID,First_Name,Last_Name,age_clean,age_missing_flag,department_clean,region_clean,status_clean,join_date,salary,Email,phone_digits,phone_valid,phone_clean,performance_score_clean,remote_work,is_active_employee,tenure_days,tenure_years,salary_band
EMP1029,Alice,Brown,40,false,DevOps,California,Active,,63411.31,alice.brown@example.com,2849939088,true,2849939088,Excellent,true,true,,,50K–74K
EMP1036,Alice,Brown,,true,Cloud Tech,New York,Active,,54757.26,alice.brown@example.com,2515837766,true,2515837766,Poor,false,true,,,50K–74K
EMP1953,Alice,Brown,40,false,Cloud Tech,California,Active,,,alice.brown@example.com,4617520237,true,4617520237,Poor,false,true,,,Unknown
EMP1047,Alice,Davis,35,false,Sales,Illinois,Active,,58921.19,alice.davis@example.com,310303722,false,,Average,true,true,,,50K–74K
EMP1078,Alice,Davis,25,false,DevOps,Florida,Active,,82318.89,alice.davis@example.com,5869886496,true,5869886496,Good,true,true,,,75K–99K
EMP1114,Alice,Davis,35,false,Sales,Texas,Active,,86327.47,alice.davis@example.com,3046875062,true,3046875062,Average,false,true,,,75K–99K
EMP1156,Alice,Davis,40,false,HR,New York,Active,,107693.38,alice.davis@example.com,4121820969,true,4121820969,Average,true,true,,,100K–124K
EMP1311,Alice,Davis,,true,Sales,Nevada,Active,,97512.51,alice.davis@example.com,6333021259,true,6333021259,Good,true,true,,,75K–99K
EMP1562,Alice,Davis,25,false,Admin,California,Active,,97837.32,alice.davis@example.com,7595587208,true,7595587208,Excellent,false,true,,,75K–99K
EMP1563,Alice,Davis,35,false,Admin,Illinois,Active,,106981.84,alice.davis@example.com,6289365434,true,6289365434,Poor,true,true,,,100K–124K
EMP1669,Alice,Davis,25,false,Finance,Illinois,Active,,68371.66,alice.davis@example.com,2822700933,true,2822700933,Poor,false,true,,,50K–74K
EMP1014,Alice,Garcia,25,false,Admin,Nevada,Active,,97633.68,alice.garcia@example.com,1734206968,true,1734206968,Excellent,true,true,,,75K–99K
EMP1120,Alice,Garcia,30,false,HR,Illinois,Active,,80668.13,alice.garcia@example.com,6110804660,true,6110804660,Good,true,true,,,75K–99K
EMP1271,Alice,Garcia,40,false,HR,Florida,Active,,98335.02,alice.garcia@example.com,2392312603,true,2392312603,Excellent,false,true,,,75K–99K
EMP1516,Alice,Garcia,35,false,Sales,New York,Active,,50288.67,alice.garcia@example.com,61558107,false,,Excellent,false,true,,,50K–74K
EMP1042,Alice,Johnson,,true,HR,Nevada,Active,,59400.38,alice.johnson@example.com,4918017225,true,4918017225,Average,true,true,,,50K–74K
EMP1102,Alice,Johnson,35,false,Finance,Texas,Active,,84422.26,alice.johnson@example.com,9141612845,true,9141612845,Average,false,true,,,75K–99K
EMP1225,Alice,Johnson,35,false,Admin,Texas,Active,,52933.42,alice.johnson@example.com,6756618442,true,6756618442,Poor,true,true,,,50K–74K
EMP1420,Alice,Johnson,25,false,Cloud Tech,New York,Active,,75478.35,alice.johnson@example.com,6128758574,true,6128758574,Excellent,false,true,,,75K–99K
EMP1529,Alice,Johnson,25,false,DevOps,Texas,Active,,90190.69,alice.johnson@example.com,4520599603,true,4520599603,Poor,true,true,,,75K–99K
EMP1635,Alice,Johnson,35,false,Admin,Nevada,Active,,56079.0,alice.johnson@example.com,5878444834,true,5878444834,Average,true,true,,,50K–74K
EMP1694,Alice,Johnson,25,false,HR,Nevada,Active,,87544.73,alice.johnson@example.com,4501848196,true,4501848196,Good,false,true,,,75K–99K
EMP1546,Alice,Jones,25,false,Finance,Florida,Active,,88436.92,alice.jones@example.com,8193242686,true,8193242686,Excellent,false,true,,,75K–99K
EMP1048,Alice,Miller,35,false,Admin,Nevada,Active,,57195.55,alice.miller@example.com,6831472759,true,6831472759,Excellent,false,true,,,50K–74K
